"","obs.dif","critical.dif","difference"
"1-2",50.0655737704918,112.74331037508,FALSE
"1-3",39.9918032786886,112.74331037508,FALSE
"1-4",118.213114754098,112.74331037508,TRUE
"1-5",58.5901639344262,112.74331037508,FALSE
"1-6",121.672131147541,112.74331037508,TRUE
"1-7",135.770491803279,112.74331037508,TRUE
"1-8",72.9426229508197,112.74331037508,FALSE
"2-3",10.0737704918033,112.74331037508,FALSE
"2-4",68.1475409836066,112.74331037508,FALSE
"2-5",108.655737704918,112.74331037508,FALSE
"2-6",71.6065573770492,112.74331037508,FALSE
"2-7",85.7049180327869,112.74331037508,FALSE
"2-8",22.8770491803278,112.74331037508,FALSE
"3-4",78.2213114754098,112.74331037508,FALSE
"3-5",98.5819672131148,112.74331037508,FALSE
"3-6",81.6803278688524,112.74331037508,FALSE
"3-7",95.7786885245902,112.74331037508,FALSE
"3-8",32.9508196721311,112.74331037508,FALSE
"4-5",176.803278688525,112.74331037508,TRUE
"4-6",3.4590163934426,112.74331037508,FALSE
"4-7",17.5573770491803,112.74331037508,FALSE
"4-8",45.2704918032787,112.74331037508,FALSE
"5-6",180.262295081967,112.74331037508,TRUE
"5-7",194.360655737705,112.74331037508,TRUE
"5-8",131.532786885246,112.74331037508,TRUE
"6-7",14.0983606557377,112.74331037508,FALSE
"6-8",48.7295081967213,112.74331037508,FALSE
"7-8",62.8278688524591,112.74331037508,FALSE
