"","obs.dif","critical.dif","difference"
"1-2",61,112.74331037508,FALSE
"1-3",127.754098360656,112.74331037508,TRUE
"1-4",468.516393442623,112.74331037508,TRUE
"1-5",141.475409836066,112.74331037508,TRUE
"1-6",507.926229508197,112.74331037508,TRUE
"1-7",596.590163934426,112.74331037508,TRUE
"1-8",606.901639344262,112.74331037508,TRUE
"2-3",66.7540983606558,112.74331037508,FALSE
"2-4",407.516393442623,112.74331037508,TRUE
"2-5",80.4754098360656,112.74331037508,FALSE
"2-6",446.926229508197,112.74331037508,TRUE
"2-7",535.590163934426,112.74331037508,TRUE
"2-8",545.901639344262,112.74331037508,TRUE
"3-4",340.762295081967,112.74331037508,TRUE
"3-5",13.7213114754098,112.74331037508,FALSE
"3-6",380.172131147541,112.74331037508,TRUE
"3-7",468.83606557377,112.74331037508,TRUE
"3-8",479.147540983607,112.74331037508,TRUE
"4-5",327.040983606557,112.74331037508,TRUE
"4-6",39.4098360655737,112.74331037508,FALSE
"4-7",128.073770491803,112.74331037508,TRUE
"4-8",138.385245901639,112.74331037508,TRUE
"5-6",366.450819672131,112.74331037508,TRUE
"5-7",455.114754098361,112.74331037508,TRUE
"5-8",465.426229508197,112.74331037508,TRUE
"6-7",88.6639344262295,112.74331037508,FALSE
"6-8",98.9754098360656,112.74331037508,FALSE
"7-8",10.3114754098361,112.74331037508,FALSE
