"","obs.dif","critical.dif","difference"
"1-2",7.91803278688519,112.74331037508,FALSE
"1-3",18.0000000000001,112.74331037508,FALSE
"1-4",41.1065573770492,112.74331037508,FALSE
"1-5",23.4836065573771,112.74331037508,FALSE
"1-6",39.6393442622951,112.74331037508,FALSE
"1-7",72.1311475409836,112.74331037508,FALSE
"1-8",75.9836065573771,112.74331037508,FALSE
"2-3",25.9180327868852,112.74331037508,FALSE
"2-4",49.0245901639344,112.74331037508,FALSE
"2-5",31.4016393442623,112.74331037508,FALSE
"2-6",47.5573770491803,112.74331037508,FALSE
"2-7",80.0491803278688,112.74331037508,FALSE
"2-8",83.9016393442623,112.74331037508,FALSE
"3-4",23.1065573770492,112.74331037508,FALSE
"3-5",5.48360655737707,112.74331037508,FALSE
"3-6",21.6393442622951,112.74331037508,FALSE
"3-7",54.1311475409836,112.74331037508,FALSE
"3-8",57.9836065573771,112.74331037508,FALSE
"4-5",17.6229508196721,112.74331037508,FALSE
"4-6",1.46721311475409,112.74331037508,FALSE
"4-7",31.0245901639344,112.74331037508,FALSE
"4-8",34.8770491803279,112.74331037508,FALSE
"5-6",16.155737704918,112.74331037508,FALSE
"5-7",48.6475409836065,112.74331037508,FALSE
"5-8",52.5,112.74331037508,FALSE
"6-7",32.4918032786885,112.74331037508,FALSE
"6-8",36.344262295082,112.74331037508,FALSE
"7-8",3.85245901639348,112.74331037508,FALSE
