"","Obs.","Crit."
"9-6","\(\mathbf{607.00}\)","\(\mathbf{95.00}\)"
"9-7","\(\mathbf{415.00}\)","\(\mathbf{78.00}\)"
"9-8","\(\mathbf{219.00}\)","\(\mathbf{78.00}\)"
"6-7","\(\mathbf{192.00}\)","\(\mathbf{78.00}\)"
"6-8","\(\mathbf{388.00}\)","\(\mathbf{78.00}\)"
"7-8","\(\mathbf{196.00}\)","\(\mathbf{55.00}\)"
