"","obs.dif","critical.dif","difference"
"6-7",6.65846994535519,77.7478100179392,FALSE
"6-8",3.51912568306011,77.7478100179392,FALSE
"6-9",72.9426229508197,95.2212315813986,FALSE
"7-8",3.13934426229508,54.9760036860882,FALSE
"7-9",66.2841530054645,77.7478100179392,FALSE
"8-9",69.4234972677596,77.7478100179392,FALSE
