"","Obs.","Crit."
"1-2","10","99"
"1-3","1","99"
"1-4","\textbf{371}","\textbf{99}"
"1-5","37","99"
"1-6","\textbf{374}","\textbf{99}"
"1-7","\textbf{556}","\textbf{99}"
"1-8",NA,NA
"2-3","11","99"
"2-4","\textbf{381}","\textbf{99}"
"2-5","47","99"
"2-6","\textbf{384}","\textbf{99}"
"2-7","\textbf{566}","\textbf{99}"
"2-8",NA,NA
"3-4","\textbf{370}","\textbf{99}"
"3-5","36","99"
"3-6","\textbf{373}","\textbf{99}"
"3-7","\textbf{555}","\textbf{99}"
"3-8",NA,NA
"4-5","\textbf{334}","\textbf{99}"
"4-6","3","99"
"4-7","\textbf{185}","\textbf{99}"
"4-8",NA,NA
"5-6","\textbf{337}","\textbf{99}"
"5-7","\textbf{519}","\textbf{99}"
"5-8",NA,NA
"6-7","\textbf{182}","\textbf{99}"
"6-8",NA,NA
"7-8",NA,NA
