"","carnivore Obs.","carnivore Crit.","herbivore Obs.","herbivore Crit.","omnivore Obs.","omnivore Crit."
"6-7",NA,NA,"\(\mathbf{140.00}\)","\(\mathbf{78.00}\)","\(\mathbf{140.00}\)","\(\mathbf{78.00}\)"
"6-8",NA,NA,"\(\mathbf{258.00}\)","\(\mathbf{78.00}\)","\(\mathbf{265.00}\)","\(\mathbf{78.00}\)"
"6-9",NA,NA,"\(\mathbf{325.00}\)","\(\mathbf{95.00}\)","\(\mathbf{397.00}\)","\(\mathbf{95.00}\)"
"7-8","\(\mathbf{169.00}\)","\(\mathbf{48.00}\)","\(\mathbf{118.00}\)","\(\mathbf{55.00}\)","\(\mathbf{126.00}\)","\(\mathbf{55.00}\)"
"7-9","\(\mathbf{260.00}\)","\(\mathbf{68.00}\)","\(\mathbf{185.00}\)","\(\mathbf{78.00}\)","\(\mathbf{258.00}\)","\(\mathbf{78.00}\)"
"8-9","\(\mathbf{91.00}\)","\(\mathbf{68.00}\)","67.00","78.00","\(\mathbf{132.00}\)","\(\mathbf{78.00}\)"
