"","autotroph Obs.","autotroph Crit.","carnivore Obs.","carnivore Crit.","herbivore Obs.","herbivore Crit.","omnivore Obs.","omnivore Crit."
"6-7","\(\mathbf{195.00}\)","\(\mathbf{78.00}\)",NA,NA,"28.00","78.00","\(\mathbf{242.00}\)","\(\mathbf{78.00}\)"
"6-8","\(\mathbf{412.00}\)","\(\mathbf{78.00}\)",NA,NA,"\(\mathbf{150.00}\)","\(\mathbf{78.00}\)","\(\mathbf{537.00}\)","\(\mathbf{78.00}\)"
"6-9","\(\mathbf{554.00}\)","\(\mathbf{95.00}\)",NA,NA,"\(\mathbf{173.00}\)","\(\mathbf{95.00}\)","\(\mathbf{822.00}\)","\(\mathbf{95.00}\)"
"7-8","\(\mathbf{217.00}\)","\(\mathbf{55.00}\)","\(\mathbf{163.00}\)","\(\mathbf{48.00}\)","\(\mathbf{122.00}\)","\(\mathbf{55.00}\)","\(\mathbf{294.00}\)","\(\mathbf{55.00}\)"
"7-9","\(\mathbf{359.00}\)","\(\mathbf{78.00}\)","\(\mathbf{81.00}\)","\(\mathbf{68.00}\)","\(\mathbf{145.00}\)","\(\mathbf{78.00}\)","\(\mathbf{579.00}\)","\(\mathbf{78.00}\)"
"8-9","\(\mathbf{142.00}\)","\(\mathbf{78.00}\)","\(\mathbf{81.00}\)","\(\mathbf{68.00}\)","24.00","78.00","\(\mathbf{285.00}\)","\(\mathbf{78.00}\)"
