"","autotroph Obs.","autotroph Crit.","carnivore Obs.","carnivore Crit.","herbivore Obs.","herbivore Crit.","omnivore Obs.","omnivore Crit."
"6-7","31","78",NA,NA,"7","78","\textbf{192}","\textbf{78}"
"6-8","59","78",NA,NA,"4","78","\textbf{388}","\textbf{78}"
"6-9","76","95",NA,NA,"73","95","\textbf{607}","\textbf{95}"
"7-8","28","55","\textbf{202}","\textbf{48}","3","55","\textbf{196}","\textbf{55}"
"7-9","45","78","\textbf{322}","\textbf{68}","66","78","\textbf{415}","\textbf{78}"
"8-9","17","78","\textbf{121}","\textbf{68}","69","78","\textbf{219}","\textbf{78}"
