"","Obs.","Crit."
"6-7","\(\mathbf{195.00}\)","\(\mathbf{78.00}\)"
"6-8","\(\mathbf{412.00}\)","\(\mathbf{78.00}\)"
"6-9","\(\mathbf{554.00}\)","\(\mathbf{95.00}\)"
"7-8","\(\mathbf{217.00}\)","\(\mathbf{55.00}\)"
"7-9","\(\mathbf{359.00}\)","\(\mathbf{78.00}\)"
"8-9","\(\mathbf{142.00}\)","\(\mathbf{78.00}\)"
