"","Obs.","Crit."
"6-7",NA,NA
"6-8",NA,NA
"6-9",NA,NA
"7-8","\(\mathbf{163.00}\)","\(\mathbf{48.00}\)"
"7-9","\(\mathbf{81.00}\)","\(\mathbf{68.00}\)"
"8-9","\(\mathbf{81.00}\)","\(\mathbf{68.00}\)"
