"","obs.dif","critical.dif","difference"
"6-7",NA,Inf,NA
"6-8",NA,Inf,NA
"6-9",NA,Inf,NA
"7-8",162.666666666667,48.1075199854463,TRUE
"7-9",81.3333333333333,68.0343072155529,TRUE
"8-9",81.3333333333333,68.0343072155529,TRUE
