"","Obs.","Crit."
"6-7","\(\mathbf{242.00}\)","\(\mathbf{78.00}\)"
"6-8","\(\mathbf{537.00}\)","\(\mathbf{78.00}\)"
"6-9","\(\mathbf{822.00}\)","\(\mathbf{95.00}\)"
"7-8","\(\mathbf{294.00}\)","\(\mathbf{55.00}\)"
"7-9","\(\mathbf{579.00}\)","\(\mathbf{78.00}\)"
"8-9","\(\mathbf{285.00}\)","\(\mathbf{78.00}\)"
