"","obs.dif","critical.dif","difference"
"1-2",244,98.6576086553021,TRUE
"1-3",122,98.6576086553021,TRUE
"1-4",122,98.6576086553021,TRUE
"1-5",366,98.6576086553021,TRUE
"1-6",366,98.6576086553021,TRUE
"1-7",244,98.6576086553021,TRUE
"1-8",NA,Inf,NA
"2-3",122,98.6576086553021,TRUE
"2-4",366,98.6576086553021,TRUE
"2-5",122,98.6576086553021,TRUE
"2-6",610,98.6576086553021,TRUE
"2-7",488,98.6576086553021,TRUE
"2-8",NA,Inf,NA
"3-4",244,98.6576086553021,TRUE
"3-5",244,98.6576086553021,TRUE
"3-6",488,98.6576086553021,TRUE
"3-7",366,98.6576086553021,TRUE
"3-8",NA,Inf,NA
"4-5",488,98.6576086553021,TRUE
"4-6",244,98.6576086553021,TRUE
"4-7",122,98.6576086553021,TRUE
"4-8",NA,Inf,NA
"5-6",732,98.6576086553021,TRUE
"5-7",610,98.6576086553021,TRUE
"5-8",NA,Inf,NA
"6-7",122,98.6576086553021,TRUE
"6-8",NA,Inf,NA
"7-8",NA,Inf,NA
