"","Obs.","Crit."
"9-6","\(\mathbf{397.00}\)","\(\mathbf{95.00}\)"
"9-7","\(\mathbf{258.00}\)","\(\mathbf{78.00}\)"
"9-8","\(\mathbf{132.00}\)","\(\mathbf{78.00}\)"
"6-7","\(\mathbf{140.00}\)","\(\mathbf{78.00}\)"
"6-8","\(\mathbf{265.00}\)","\(\mathbf{78.00}\)"
"7-8","\(\mathbf{126.00}\)","\(\mathbf{55.00}\)"
