"","Obs.","Crit."
"6-7","\(\mathbf{140.00}\)","\(\mathbf{78.00}\)"
"6-8","\(\mathbf{258.00}\)","\(\mathbf{78.00}\)"
"6-9","\(\mathbf{325.00}\)","\(\mathbf{95.00}\)"
"7-8","\(\mathbf{118.00}\)","\(\mathbf{55.00}\)"
"7-9","\(\mathbf{185.00}\)","\(\mathbf{78.00}\)"
"8-9","67.00","78.00"
