"","obs.dif","critical.dif"
"6-7","\textbf{346.366120218579}","\textbf{77.7478100179392}"
"6-8","\textbf{539.237704918033}","\textbf{77.7478100179392}"
"6-9","\textbf{458.66393442623}","\textbf{95.2212315813986}"
"7-8","\textbf{192.871584699454}","\textbf{54.9760036860882}"
"7-9","\textbf{112.29781420765}","\textbf{77.7478100179392}"
"8-9","\textbf{80.5737704918033}","\textbf{77.7478100179392}"
