"","Obs.","Crit."
"9-6","\(\mathbf{133.00}\)","\(\mathbf{95.00}\)"
"9-7","\(\mathbf{135.00}\)","\(\mathbf{78.00}\)"
"9-8","53.00","78.00"
"6-7","3.00","78.00"
"6-8","\(\mathbf{79.00}\)","\(\mathbf{78.00}\)"
"7-8","\(\mathbf{82.00}\)","\(\mathbf{55.00}\)"
