"","Obs.","Crit."
"9-6","\(\mathbf{372.00}\)","\(\mathbf{95.00}\)"
"9-7","\(\mathbf{400.00}\)","\(\mathbf{78.00}\)"
"9-8","\(\mathbf{251.00}\)","\(\mathbf{78.00}\)"
"6-7","28.00","78.00"
"6-8","\(\mathbf{121.00}\)","\(\mathbf{78.00}\)"
"7-8","\(\mathbf{149.00}\)","\(\mathbf{55.00}\)"
