"","Obs.","Crit."
"9-6",NA,NA
"9-7","\(\mathbf{188.00}\)","\(\mathbf{68.00}\)"
"9-8","\(\mathbf{68.00}\)","\(\mathbf{68.00}\)"
"6-7",NA,NA
"6-8",NA,NA
"7-8","\(\mathbf{120.00}\)","\(\mathbf{48.00}\)"
