Mass bin lower bound,,,,
1024000,,,,
512000,,,,
256000,,,,
128000,,,,
64000,,,,
32000,,,,
16000,,,,
8000,,,,
4000,,,,
2000,,,,
1000,,,,
900,,,,
800,,,,
700,,,,
600,,,,
500,,,,
400,,,,
300,,,,
200,,,,
100,,,,
90,,,,
80,,,,
70,,,,
60,,,,
50,,,,
40,,,,
30,,,,
20,,,,
10,,,,
5.12,,,,
2.56,,,,
1.28,,,,
0.64,,,,
0.32,,,,
0.16,,,,
0.08,,,,
0.04,,,,
0.02,,,,
0.01,,,,
0.001,,,,
0.0001,,,,
0.00001,,,,
0.000001,,,,
0,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
